temp,vcc,cpu,label,phase,stress
59.66,2.999,64.75,MIXED_PRECISION,0,0
59.69,2.999,70.20,MIXED_PRECISION,0,0
59.77,2.999,59.16,MIXED_PRECISION,0,0
59.77,2.999,51.73,PRUNED_VARIANT,0,0
59.71,2.999,47.18,STANDARD_INT8,0,0
59.73,2.999,44.95,STANDARD_INT8,0,0
59.80,2.997,44.56,STANDARD_INT8,0,0
59.73,2.997,45.64,STANDARD_INT8,0,0
59.81,2.998,47.92,STANDARD_INT8,0,0
60.00,2.996,51.13,PRUNED_VARIANT,0,0
59.89,2.997,55.11,PRUNED_VARIANT,0,0
59.87,2.997,59.68,PRUNED_VARIANT,0,0
59.92,2.997,64.75,MIXED_PRECISION,0,0
59.83,2.998,70.20,MIXED_PRECISION,0,0
59.82,2.997,59.16,MIXED_PRECISION,0,0
59.81,2.996,51.73,PRUNED_VARIANT,0,0
59.74,2.996,47.18,STANDARD_INT8,0,0
59.81,2.995,44.95,STANDARD_INT8,0,0
59.81,2.995,44.56,STANDARD_INT8,0,0
59.74,2.997,45.64,STANDARD_INT8,0,0
59.75,2.997,47.92,STANDARD_INT8,0,0
59.75,2.998,51.13,PRUNED_VARIANT,0,0
59.70,2.997,55.11,PRUNED_VARIANT,0,0
59.46,2.998,59.68,PRUNED_VARIANT,0,0
59.52,2.998,64.75,MIXED_PRECISION,0,0
59.38,2.999,70.20,MIXED_PRECISION,0,0
59.40,2.999,59.16,MIXED_PRECISION,0,0
59.28,3.000,51.73,PRUNED_VARIANT,0,0
59.38,3.000,47.18,STANDARD_INT8,0,0
59.27,3.001,44.95,STANDARD_INT8,0,0
59.31,3.000,44.56,STANDARD_INT8,0,0
59.21,2.999,45.64,STANDARD_INT8,0,0
59.26,3.000,47.92,STANDARD_INT8,0,0
59.30,2.999,51.13,PRUNED_VARIANT,0,0
59.33,2.998,55.11,PRUNED_VARIANT,0,0
59.23,3.000,59.68,PRUNED_VARIANT,0,0
59.28,2.999,64.75,MIXED_PRECISION,0,0
59.12,3.000,70.20,MIXED_PRECISION,0,0
59.25,2.999,59.16,MIXED_PRECISION,0,0
59.23,3.000,51.73,PRUNED_VARIANT,0,0
59.15,3.001,47.18,STANDARD_INT8,0,0
59.08,3.001,44.95,STANDARD_INT8,0,0
59.22,3.000,44.56,STANDARD_INT8,0,0
59.27,3.001,45.64,STANDARD_INT8,0,0
59.37,3.000,47.92,STANDARD_INT8,0,0
59.52,2.998,51.13,PRUNED_VARIANT,0,0
59.64,2.997,55.11,PRUNED_VARIANT,0,0
59.60,2.996,59.68,PRUNED_VARIANT,0,0
59.38,2.997,64.75,MIXED_PRECISION,0,0
59.46,2.997,70.20,MIXED_PRECISION,0,0
59.46,2.997,59.16,MIXED_PRECISION,0,0
59.33,2.997,51.73,PRUNED_VARIANT,0,0
59.36,2.998,47.18,STANDARD_INT8,0,0
59.44,2.998,44.95,STANDARD_INT8,0,0
59.58,2.997,44.56,STANDARD_INT8,0,0
59.42,2.998,45.64,STANDARD_INT8,0,0
59.43,2.997,47.92,STANDARD_INT8,0,0
59.44,2.997,51.13,PRUNED_VARIANT,0,0
59.31,2.998,55.11,PRUNED_VARIANT,0,0
59.15,2.999,59.68,PRUNED_VARIANT,0,0
59.21,2.999,64.75,MIXED_PRECISION,0,0
59.13,3.000,70.20,MIXED_PRECISION,0,0
59.01,2.999,59.16,MIXED_PRECISION,0,0
58.90,2.998,51.73,PRUNED_VARIANT,0,0
58.82,3.000,47.18,STANDARD_INT8,0,0
58.69,3.001,44.95,STANDARD_INT8,0,0
58.72,2.999,44.56,STANDARD_INT8,0,0
58.67,3.000,45.64,STANDARD_INT8,0,0
58.64,3.001,47.92,STANDARD_INT8,0,0
58.54,3.002,51.13,PRUNED_VARIANT,0,0
58.79,3.001,55.11,PRUNED_VARIANT,0,0
58.67,3.002,59.68,PRUNED_VARIANT,0,0
58.63,3.002,64.75,MIXED_PRECISION,0,0
58.73,3.002,70.20,MIXED_PRECISION,0,0
58.88,3.000,59.16,MIXED_PRECISION,0,0
58.80,3.001,51.73,PRUNED_VARIANT,0,0
58.81,3.001,47.18,STANDARD_INT8,0,0
58.81,3.000,44.95,STANDARD_INT8,0,0
58.42,3.001,44.56,STANDARD_INT8,0,0
58.50,3.002,45.64,STANDARD_INT8,0,0
58.50,3.002,47.92,STANDARD_INT8,0,0
58.50,3.002,51.13,PRUNED_VARIANT,0,0
58.50,3.002,55.11,PRUNED_VARIANT,0,0
58.56,3.001,59.68,PRUNED_VARIANT,0,0
58.61,3.001,64.75,MIXED_PRECISION,0,0
58.65,3.002,70.20,MIXED_PRECISION,0,0
58.62,3.003,59.16,MIXED_PRECISION,0,0
58.66,3.002,51.73,PRUNED_VARIANT,0,0
58.82,3.002,47.18,STANDARD_INT8,0,0
58.82,3.002,44.95,STANDARD_INT8,0,0
58.82,3.003,44.56,STANDARD_INT8,0,0
58.75,3.004,45.64,STANDARD_INT8,0,0
58.70,3.004,47.92,STANDARD_INT8,0,0
58.73,3.003,51.13,PRUNED_VARIANT,0,0
58.74,3.004,55.11,PRUNED_VARIANT,0,0
58.76,3.004,59.68,PRUNED_VARIANT,0,0
58.90,3.002,64.75,MIXED_PRECISION,0,0
58.88,3.001,70.20,MIXED_PRECISION,0,0
58.87,3.001,59.16,MIXED_PRECISION,0,0
58.86,3.001,51.73,PRUNED_VARIANT,0,0
59.04,3.000,47.18,STANDARD_INT8,0,0
59.00,3.000,44.95,STANDARD_INT8,0,0
58.96,3.001,44.56,STANDARD_INT8,0,0
58.93,3.002,45.64,STANDARD_INT8,0,0
59.10,3.000,47.92,STANDARD_INT8,0,0
59.24,3.000,51.13,PRUNED_VARIANT,0,0
59.35,2.999,55.11,PRUNED_VARIANT,0,0
59.37,3.000,59.68,PRUNED_VARIANT,0,0
59.32,3.000,64.75,MIXED_PRECISION,0,0
59.35,2.999,70.20,MIXED_PRECISION,0,0
59.50,3.000,59.16,MIXED_PRECISION,0,0
59.56,3.000,51.73,PRUNED_VARIANT,0,0
59.54,3.000,47.18,STANDARD_INT8,0,0
59.52,3.000,44.95,STANDARD_INT8,0,0
59.58,2.999,44.56,STANDARD_INT8,0,0
59.68,2.998,45.64,STANDARD_INT8,0,0
59.70,2.998,47.92,STANDARD_INT8,0,0
59.65,2.998,51.13,PRUNED_VARIANT,0,0
59.68,2.998,55.11,PRUNED_VARIANT,0,0
59.64,2.999,59.68,PRUNED_VARIANT,0,0
59.73,2.998,64.75,MIXED_PRECISION,0,0
59.74,2.998,70.20,MIXED_PRECISION,1,1
59.75,2.998,59.16,MIXED_PRECISION,1,1
59.69,2.999,51.73,PRUNED_VARIANT,1,1
59.84,2.997,47.18,STANDARD_INT8,1,1
59.76,2.997,44.95,STANDARD_INT8,1,1
59.70,2.997,44.56,STANDARD_INT8,1,1
59.91,2.996,45.64,STANDARD_INT8,1,1
59.95,2.997,47.92,STANDARD_INT8,1,1
59.98,2.998,51.13,PRUNED_VARIANT,1,1
59.88,2.997,55.11,PRUNED_VARIANT,1,1
59.79,2.997,59.68,PRUNED_VARIANT,1,1
59.79,2.998,64.75,MIXED_PRECISION,1,1
59.79,2.999,70.20,MIXED_PRECISION,1,1
59.98,2.999,59.16,MIXED_PRECISION,1,1
59.69,3.000,51.73,PRUNED_VARIANT,1,1
59.64,3.000,47.18,STANDARD_INT8,1,1
59.86,2.999,44.95,STANDARD_INT8,1,1
60.04,2.998,44.56,STANDARD_INT8,1,1
59.92,2.999,45.64,STANDARD_INT8,1,1
59.96,2.998,47.92,STANDARD_INT8,1,1
59.86,2.997,51.13,PRUNED_VARIANT,1,1
59.78,2.997,55.11,PRUNED_VARIANT,1,1
59.85,2.998,59.68,PRUNED_VARIANT,1,1
59.96,2.998,64.75,MIXED_PRECISION,1,1
59.86,2.999,70.20,MIXED_PRECISION,1,1
59.91,2.998,59.16,MIXED_PRECISION,1,1
59.89,2.999,51.73,PRUNED_VARIANT,1,1
59.93,2.998,47.18,STANDARD_INT8,1,1
59.84,3.000,44.95,STANDARD_INT8,1,1
59.76,3.003,44.56,STANDARD_INT8,1,1
59.77,3.003,45.64,STANDARD_INT8,1,1
59.77,3.001,47.92,STANDARD_INT8,1,1
59.51,3.004,51.13,PRUNED_VARIANT,1,1
59.57,3.003,55.11,PRUNED_VARIANT,1,1
59.55,3.003,59.68,PRUNED_VARIANT,1,1
59.59,3.004,64.75,MIXED_PRECISION,1,1
59.57,3.003,70.20,MIXED_PRECISION,1,1
59.68,3.002,59.16,MIXED_PRECISION,1,1
59.70,3.001,51.73,PRUNED_VARIANT,1,1
59.65,3.001,47.18,STANDARD_INT8,1,1
59.74,3.001,44.95,STANDARD_INT8,1,1
59.69,3.002,44.56,STANDARD_INT8,1,1
59.64,3.001,45.64,STANDARD_INT8,1,1
59.73,3.000,47.92,STANDARD_INT8,1,1
59.68,3.001,51.13,PRUNED_VARIANT,1,1
59.64,3.001,55.11,PRUNED_VARIANT,1,1
59.60,3.001,59.68,PRUNED_VARIANT,1,1
59.57,3.002,64.75,MIXED_PRECISION,1,1
59.55,3.003,70.20,MIXED_PRECISION,1,1
59.66,3.002,59.16,MIXED_PRECISION,1,1
59.62,3.005,51.73,PRUNED_VARIANT,1,1
59.59,3.005,47.18,STANDARD_INT8,1,1
59.56,3.005,44.95,STANDARD_INT8,1,1
59.54,3.005,44.56,STANDARD_INT8,1,1
59.59,3.004,45.64,STANDARD_INT8,1,1
59.69,3.003,47.92,STANDARD_INT8,1,1
59.71,3.003,51.13,PRUNED_VARIANT,1,1
60.05,3.001,55.11,PRUNED_VARIANT,1,1
59.93,3.001,59.68,PRUNED_VARIANT,1,1
60.10,3.000,64.75,MIXED_PRECISION,1,1
60.10,3.001,70.20,MIXED_PRECISION,1,1
60.23,2.999,59.16,MIXED_PRECISION,1,1
60.20,3.000,51.73,PRUNED_VARIANT,1,1
60.18,3.000,47.18,STANDARD_INT8,1,1
60.17,3.001,44.95,STANDARD_INT8,1,1
60.41,2.999,44.56,STANDARD_INT8,1,1
60.35,2.999,45.64,STANDARD_INT8,1,1
60.37,2.999,47.92,STANDARD_INT8,1,1
60.25,3.000,51.13,PRUNED_VARIANT,1,1
60.22,3.000,55.11,PRUNED_VARIANT,1,1
60.33,3.000,59.68,PRUNED_VARIANT,1,1
60.41,3.000,64.75,MIXED_PRECISION,1,1
60.35,3.001,70.20,MIXED_PRECISION,1,1
60.30,3.002,59.16,MIXED_PRECISION,1,1
60.20,3.002,51.73,PRUNED_VARIANT,1,1
60.31,3.001,47.18,STANDARD_INT8,1,1
60.40,3.001,44.95,STANDARD_INT8,1,1
60.60,3.000,44.56,STANDARD_INT8,1,1
60.37,3.002,45.64,STANDARD_INT8,1,1
60.25,3.002,47.92,STANDARD_INT8,1,1
60.16,3.005,51.13,PRUNED_VARIANT,1,1
60.15,3.005,55.11,PRUNED_VARIANT,1,1
60.08,3.006,59.68,PRUNED_VARIANT,1,1
60.34,3.004,64.75,MIXED_PRECISION,1,1
60.42,3.003,70.20,MIXED_PRECISION,1,1
60.36,3.002,59.16,MIXED_PRECISION,1,1
60.37,3.002,51.73,PRUNED_VARIANT,1,1
60.58,3.002,47.18,STANDARD_INT8,1,1
60.61,3.002,44.95,STANDARD_INT8,1,1
60.51,3.002,44.56,STANDARD_INT8,1,1
60.56,3.001,45.64,STANDARD_INT8,1,1
60.53,3.002,47.92,STANDARD_INT8,1,1
60.58,3.001,51.13,PRUNED_VARIANT,1,1
60.48,3.002,55.11,PRUNED_VARIANT,1,1
60.41,3.002,59.68,PRUNED_VARIANT,1,1
60.28,3.003,64.75,MIXED_PRECISION,1,1
60.51,3.002,70.20,MIXED_PRECISION,1,1
60.55,3.001,59.16,MIXED_PRECISION,1,1
60.59,3.002,51.73,PRUNED_VARIANT,1,1
60.63,3.002,47.18,STANDARD_INT8,1,1
60.65,3.002,44.95,STANDARD_INT8,1,1
60.80,3.002,44.56,STANDARD_INT8,1,1
60.53,3.003,45.64,STANDARD_INT8,1,1
60.45,3.003,47.92,STANDARD_INT8,1,1
60.25,3.005,51.13,PRUNED_VARIANT,1,1
60.35,3.004,55.11,PRUNED_VARIANT,1,1
60.30,3.005,59.68,PRUNED_VARIANT,1,1
60.39,3.005,64.75,MIXED_PRECISION,1,1
60.27,3.006,70.20,MIXED_PRECISION,1,1
60.37,3.006,59.16,MIXED_PRECISION,1,1
60.25,3.007,51.73,PRUNED_VARIANT,1,1
60.22,3.007,47.18,STANDARD_INT8,1,1
60.13,3.006,44.95,STANDARD_INT8,1,1
60.26,3.006,44.56,STANDARD_INT8,1,1
60.48,3.006,45.64,STANDARD_INT8,1,1
60.54,3.006,47.92,STANDARD_INT8,1,1
60.58,3.005,51.13,PRUNED_VARIANT,1,1
60.49,3.005,55.11,PRUNED_VARIANT,1,1
60.47,3.005,59.68,PRUNED_VARIANT,1,1
60.34,3.005,64.75,MIXED_PRECISION,1,1
60.55,3.004,70.20,MIXED_PRECISION,1,1
60.72,3.002,59.16,MIXED_PRECISION,1,1
60.92,3.001,51.73,PRUNED_VARIANT,1,1
61.01,3.001,47.18,STANDARD_INT8,1,1
60.96,3.002,44.95,STANDARD_INT8,1,1
61.05,3.003,44.56,STANDARD_INT8,1,1
60.99,3.002,45.64,STANDARD_INT8,1,1
60.94,3.003,47.92,STANDARD_INT8,1,1
60.90,3.003,51.13,PRUNED_VARIANT,1,1
60.87,3.004,55.11,PRUNED_VARIANT,1,1
60.72,3.005,59.68,PRUNED_VARIANT,1,1
60.73,3.006,64.75,MIXED_PRECISION,1,1
60.67,3.007,70.20,MIXED_PRECISION,1,1
60.81,3.007,59.16,MIXED_PRECISION,1,1
60.61,3.007,51.73,PRUNED_VARIANT,1,1
60.76,3.006,47.18,STANDARD_INT8,1,1
60.76,3.007,44.95,STANDARD_INT8,1,1
60.76,3.008,44.56,STANDARD_INT8,1,1
60.76,3.007,45.64,STANDARD_INT8,1,1
60.69,3.007,47.92,STANDARD_INT8,1,1
60.70,3.007,51.13,PRUNED_VARIANT,1,1
60.97,3.005,55.11,PRUNED_VARIANT,1,1
60.99,3.004,59.68,PRUNED_VARIANT,1,1
60.94,3.004,64.75,MIXED_PRECISION,1,1
61.03,3.004,70.20,MIXED_PRECISION,1,1
61.04,3.004,59.16,MIXED_PRECISION,1,1
60.85,3.006,51.73,PRUNED_VARIANT,1,1
60.83,3.006,47.18,STANDARD_INT8,1,1
60.75,3.007,44.95,STANDARD_INT8,1,1
61.01,3.005,44.56,STANDARD_INT8,1,1
61.22,3.004,45.64,STANDARD_INT8,1,1
61.25,3.003,47.92,STANDARD_INT8,1,1
61.15,3.003,51.13,PRUNED_VARIANT,1,1
61.07,3.004,55.11,PRUNED_VARIANT,1,1
61.01,3.005,59.68,PRUNED_VARIANT,1,1
61.09,3.006,64.75,MIXED_PRECISION,1,1
61.28,3.005,70.20,MIXED_PRECISION,1,1
61.30,3.003,59.16,MIXED_PRECISION,1,1
61.32,3.005,51.73,PRUNED_VARIANT,1,1
61.33,3.004,47.18,STANDARD_INT8,1,1
61.22,3.004,44.95,STANDARD_INT8,1,1
61.12,3.004,44.56,STANDARD_INT8,1,1
60.99,3.005,45.64,STANDARD_INT8,1,1
61.07,3.004,47.92,STANDARD_INT8,1,1
61.00,3.005,51.13,PRUNED_VARIANT,1,1
61.08,3.005,55.11,PRUNED_VARIANT,1,1
61.02,3.005,59.68,PRUNED_VARIANT,1,1
60.96,3.005,64.75,MIXED_PRECISION,1,1
61.05,3.005,70.20,MIXED_PRECISION,1,1
61.12,3.005,59.16,MIXED_PRECISION,1,1
61.05,3.006,51.73,PRUNED_VARIANT,1,1
61.12,3.005,47.18,STANDARD_INT8,1,1
61.04,3.006,44.95,STANDARD_INT8,1,1
61.11,3.006,44.56,STANDARD_INT8,1,1
61.17,3.006,45.64,STANDARD_INT8,1,1
61.09,3.007,47.92,STANDARD_INT8,1,1
61.15,3.006,51.13,PRUNED_VARIANT,1,1
61.07,3.007,55.11,PRUNED_VARIANT,1,1
60.88,3.007,59.68,PRUNED_VARIANT,1,1
61.11,3.007,64.75,MIXED_PRECISION,1,1
60.97,3.007,70.20,MIXED_PRECISION,1,1
61.06,3.006,59.16,MIXED_PRECISION,1,1
61.00,3.006,51.73,PRUNED_VARIANT,1,1
61.08,3.007,47.18,STANDARD_INT8,1,1
61.14,3.006,44.95,STANDARD_INT8,1,1
61.06,3.005,44.56,STANDARD_INT8,1,1
61.26,3.004,45.64,STANDARD_INT8,1,1
61.29,3.004,47.92,STANDARD_INT8,1,1
61.18,3.006,51.13,PRUNED_VARIANT,1,1
61.35,3.005,55.11,PRUNED_VARIANT,1,1
61.49,3.006,59.68,PRUNED_VARIANT,1,1
61.47,3.006,64.75,MIXED_PRECISION,1,1
61.52,3.006,70.20,MIXED_PRECISION,1,1
61.49,3.006,59.16,MIXED_PRECISION,1,1
61.35,3.007,51.73,PRUNED_VARIANT,1,1
61.36,3.006,47.18,STANDARD_INT8,1,1
61.36,3.006,44.95,STANDARD_INT8,1,1
61.37,3.006,44.56,STANDARD_INT8,1,1
61.38,3.004,45.64,STANDARD_INT8,1,1
61.51,3.003,47.92,STANDARD_INT8,1,1
61.49,3.003,51.13,PRUNED_VARIANT,1,1
61.47,3.002,55.11,PRUNED_VARIANT,1,1
61.58,3.002,59.68,PRUNED_VARIANT,1,1
61.67,3.001,64.75,MIXED_PRECISION,1,1
61.62,3.002,70.20,MIXED_PRECISION,1,1
61.77,3.002,59.16,MIXED_PRECISION,1,1
61.56,3.002,51.73,PRUNED_VARIANT,1,1
61.79,3.001,47.18,STANDARD_INT8,1,1
61.84,3.002,44.95,STANDARD_INT8,1,1
61.75,3.002,44.56,STANDARD_INT8,1,1
61.81,3.001,45.64,STANDARD_INT8,1,1
61.73,3.002,47.92,STANDARD_INT8,1,1
61.66,3.002,51.13,PRUNED_VARIANT,1,1
61.61,3.003,55.11,PRUNED_VARIANT,1,1
61.56,3.004,59.68,PRUNED_VARIANT,1,1
61.53,3.004,64.75,MIXED_PRECISION,1,1
61.63,3.004,70.20,MIXED_PRECISION,1,1
61.84,3.003,59.16,MIXED_PRECISION,1,1
61.95,3.002,51.73,PRUNED_VARIANT,1,1
61.84,3.002,47.18,STANDARD_INT8,1,1
61.75,3.003,44.95,STANDARD_INT8,1,1
61.81,3.003,44.56,STANDARD_INT8,1,1
61.85,3.003,45.64,STANDARD_INT8,1,1
61.76,3.003,47.92,STANDARD_INT8,1,1
61.88,3.002,51.13,PRUNED_VARIANT,1,1
61.91,3.002,55.11,PRUNED_VARIANT,1,1
61.94,3.002,59.68,PRUNED_VARIANT,1,1
61.96,3.001,64.75,MIXED_PRECISION,1,1
61.98,3.000,70.20,MIXED_PRECISION,1,1
62.12,2.999,59.16,MIXED_PRECISION,1,1
62.10,3.000,51.73,PRUNED_VARIANT,1,1
61.96,2.999,47.18,STANDARD_INT8,1,1
61.98,3.000,44.95,STANDARD_INT8,1,1
62.05,3.000,44.56,STANDARD_INT8,1,1
61.99,3.000,45.64,STANDARD_INT8,1,1
61.87,3.001,47.92,STANDARD_INT8,1,1
61.90,3.001,51.13,PRUNED_VARIANT,1,1
61.93,3.002,55.11,PRUNED_VARIANT,1,1
61.95,3.002,59.68,PRUNED_VARIANT,1,1
62.03,3.001,64.75,MIXED_PRECISION,1,1
62.04,3.002,70.20,MIXED_PRECISION,1,1
62.04,3.002,59.16,MIXED_PRECISION,1,1
62.17,3.001,51.73,PRUNED_VARIANT,1,1
62.14,3.002,47.18,STANDARD_INT8,1,1
62.38,3.000,44.95,STANDARD_INT8,1,1
62.31,3.000,44.56,STANDARD_INT8,1,1
62.26,3.001,45.64,STANDARD_INT8,1,1
62.21,3.003,47.92,STANDARD_INT8,1,1
62.18,3.004,51.13,PRUNED_VARIANT,1,1
62.41,3.001,55.11,PRUNED_VARIANT,1,1
62.34,3.000,59.68,PRUNED_VARIANT,1,1
62.28,3.000,64.75,MIXED_PRECISION,1,1
62.29,3.000,70.20,MIXED_PRECISION,1,1
62.24,3.001,59.16,MIXED_PRECISION,1,1
62.14,3.002,51.73,PRUNED_VARIANT,1,1
62.18,3.002,47.18,STANDARD_INT8,1,1
62.22,3.002,44.95,STANDARD_INT8,1,1
62.25,3.002,44.56,STANDARD_INT8,1,1
62.21,3.001,45.64,STANDARD_INT8,1,1
62.43,3.000,47.92,STANDARD_INT8,1,1
62.42,2.999,51.13,PRUNED_VARIANT,1,1
62.34,3.000,55.11,PRUNED_VARIANT,1,1
62.54,2.999,59.68,PRUNED_VARIANT,1,1
62.50,2.998,64.75,MIXED_PRECISION,1,1
62.67,2.996,70.20,MIXED_PRECISION,1,1
62.54,2.998,59.16,MIXED_PRECISION,2,0
62.51,2.999,51.73,PRUNED_VARIANT,2,0
62.54,2.998,47.18,STANDARD_INT8,2,0
62.51,3.000,44.95,STANDARD_INT8,2,0
62.67,2.997,44.56,STANDARD_INT8,2,0
62.67,2.998,45.64,STANDARD_INT8,2,0
62.68,2.999,47.92,STANDARD_INT8,2,0
62.55,2.998,51.13,PRUNED_VARIANT,2,0
62.71,2.998,55.11,PRUNED_VARIANT,2,0
62.64,2.998,59.68,PRUNED_VARIANT,2,0
62.58,2.998,64.75,MIXED_PRECISION,2,0
62.54,2.999,70.20,MIXED_PRECISION,2,0
62.70,3.000,59.16,MIXED_PRECISION,2,0
62.57,3.000,51.73,PRUNED_VARIANT,2,0
62.72,2.999,47.18,STANDARD_INT8,2,0
62.84,2.999,44.95,STANDARD_INT8,2,0
62.94,2.997,44.56,STANDARD_INT8,2,0
63.08,2.996,45.64,STANDARD_INT8,2,0
63.13,2.995,47.92,STANDARD_INT8,2,0
63.04,2.996,51.13,PRUNED_VARIANT,2,0
62.97,2.997,55.11,PRUNED_VARIANT,2,0
62.78,2.998,59.68,PRUNED_VARIANT,2,0
62.83,2.997,64.75,MIXED_PRECISION,2,0
62.93,2.998,70.20,MIXED_PRECISION,2,0
62.82,2.998,59.16,MIXED_PRECISION,2,0
62.79,2.998,51.73,PRUNED_VARIANT,2,0
62.77,2.998,47.18,STANDARD_INT8,2,0
62.62,2.998,44.95,STANDARD_INT8,2,0
62.76,2.998,44.56,STANDARD_INT8,2,0
62.68,2.999,45.64,STANDARD_INT8,2,0
62.62,2.998,47.92,STANDARD_INT8,2,1
62.63,2.998,51.13,PRUNED_VARIANT,2,1
62.64,2.999,55.11,PRUNED_VARIANT,2,1
62.78,2.999,59.68,PRUNED_VARIANT,2,1
62.83,2.998,64.75,MIXED_PRECISION,2,1
62.73,2.999,70.20,MIXED_PRECISION,2,1
62.66,2.999,59.16,MIXED_PRECISION,2,1
62.60,2.998,51.73,PRUNED_VARIANT,2,1
62.49,3.000,47.18,STANDARD_INT8,2,1
62.40,3.002,44.95,STANDARD_INT8,2,1
62.39,3.002,44.56,STANDARD_INT8,2,1
62.58,3.002,45.64,STANDARD_INT8,2,1
62.73,3.000,47.92,STANDARD_INT8,2,1
62.85,3.000,51.13,PRUNED_VARIANT,2,1
62.75,3.002,55.11,PRUNED_VARIANT,2,1
62.74,3.003,59.68,PRUNED_VARIANT,2,1
62.86,3.002,64.75,MIXED_PRECISION,2,1
62.69,3.002,70.20,MIXED_PRECISION,2,1
62.69,3.001,59.16,MIXED_PRECISION,2,1
62.63,3.002,51.73,PRUNED_VARIANT,2,1
62.70,3.001,47.18,STANDARD_INT8,2,1
62.70,3.001,44.95,STANDARD_INT8,2,1
62.82,3.000,44.56,STANDARD_INT8,2,1
62.67,3.001,45.64,STANDARD_INT8,2,1
62.80,3.000,47.92,STANDARD_INT8,2,1
62.78,3.000,51.13,PRUNED_VARIANT,2,1
62.76,3.000,55.11,PRUNED_VARIANT,2,1
62.68,3.001,59.68,PRUNED_VARIANT,2,0
62.68,3.001,64.75,MIXED_PRECISION,2,0
62.62,3.001,70.20,MIXED_PRECISION,2,0
62.44,3.001,59.16,MIXED_PRECISION,2,0
62.36,3.003,51.73,PRUNED_VARIANT,2,0
62.42,3.003,47.18,STANDARD_INT8,2,0
62.48,3.002,44.95,STANDARD_INT8,2,0
62.65,3.000,44.56,STANDARD_INT8,2,0
62.59,3.001,45.64,STANDARD_INT8,2,0
62.61,3.000,47.92,STANDARD_INT8,2,0
62.62,2.999,51.13,PRUNED_VARIANT,2,0
62.64,2.999,55.11,PRUNED_VARIANT,2,0
62.77,2.998,59.68,PRUNED_VARIANT,2,0
62.89,3.000,64.75,MIXED_PRECISION,2,0
62.78,2.999,70.20,MIXED_PRECISION,2,0
62.70,2.999,59.16,MIXED_PRECISION,2,0
62.69,3.000,51.73,PRUNED_VARIANT,2,0
62.82,2.999,47.18,STANDARD_INT8,2,0
62.86,3.001,44.95,STANDARD_INT8,2,0
62.76,3.002,44.56,STANDARD_INT8,2,0
62.62,3.003,45.64,STANDARD_INT8,2,0
62.69,3.003,47.92,STANDARD_INT8,2,0
62.82,3.001,51.13,PRUNED_VARIANT,2,0
62.86,3.001,55.11,PRUNED_VARIANT,2,0
62.69,3.002,59.68,PRUNED_VARIANT,2,0
62.82,3.000,64.75,MIXED_PRECISION,2,0
62.73,3.001,70.20,MIXED_PRECISION,2,0
62.72,3.001,59.16,MIXED_PRECISION,2,0
62.71,3.001,51.73,PRUNED_VARIANT,2,0
62.90,2.999,47.18,STANDARD_INT8,2,0
62.99,3.000,44.95,STANDARD_INT8,2,1
63.06,2.999,44.56,STANDARD_INT8,2,1
62.98,3.000,45.64,STANDARD_INT8,2,1
62.92,3.000,47.92,STANDARD_INT8,2,1
63.00,2.999,51.13,PRUNED_VARIANT,2,1
